"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Тестирование полной версии сайта","3","Проверка формы валидации для кредита под залог","22","0","","0"
"0","Тестирование полной версии сайта","8","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование мобильной версии сайта","25","Проверка формы валидации для кредита под залог","0","0","","0"
"0","Тестирование полной версии сайта","0","Проверка страницы блогов","10","0","","0"
"0","Тестирование мобильной версии сайта","0","Проверка страницы блогов","10","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка вклада для своих","7","0","","0"
"0","Тестирование мобильной версии сайта","8","Проверка формы валидации для премиум клиента","0","0","","0"
"0","Тестирование мобильной версии сайта","1","Проверка фильтров для карт","4","0","","0"
"0","Тестирование полной версии сайта","1","Проверка фильтров для карт","4","0","","0"
"0","Тестирование полной версии сайта","0","Проверка партнеров","1","0","","0"
